Period;GDP;Deficit;CPI;USCPI;IntRate Nominal;ExcRate Nominal
2009-09;211411.166;0.013922003533153;91.8195176666667;215.344;0.596774193548387;3.78633333333333
2009-12;210478.9998;0.0717959892167827;92.1409733333333;217.03;0.849910394265233;3.771
2010-03;213459.0692;0.0107779023333247;91.4688383333333;217.374;1.25;3.74433333333333
2010-06;222525.3457;0.0226719297261606;92.5500993333333;217.297333333333;1.5;3.80666666666667
2010-09;225795.0739;0.0100290009028403;93.6605836666667;217.934333333333;1.6747311827957;3.75366666666667
2010-12;229458.1992;0.0640387227444082;94.4203886666667;219.699;2;3.62266666666667
2011-03;230924.124;-0.011517215931931;95.126072;222.043666666667;2.28369815668203;3.60433333333333
2011-06;234889.433;0.0206198335026846;96.335302;224.568333333333;3.0994623655914;3.41566666666667
2011-09;242482.7361;0.0147430330814384;96.707373;226.032666666667;3.25;3.56666666666667
2011-12;246319.1799;0.0704218811017566;96.7693846666667;227.047333333333;2.91935483870968;3.73933333333333
2012-03;244413.1154;0.00144153475325326;96.8624023333333;228.326;2.56720430107527;3.738
2012-06;250847.561;0.0339840537656254;97.8545903333333;228.808;2.49166666666667;3.85133333333333
2012-09;257278.6045;0.0302744140545119;98.4437023333333;229.841;2.25;3.979
2012-12;258801.2878;0.0691094899567188;98.350685;231.369333333333;2.06989247311828;3.807
2013-03;256550.3377;0.0143770303834607;98.2133953333333;232.299333333333;1.75;3.69466666666667
2013-06;270594.9025;0.016242427183195;99.0614683333333;232.045;1.53763440860215;3.63166666666667
2013-09;271001.1854;0.0094108333741628;100.040014333333;233.3;1.23888888888889;3.57233333333333
2013-12;276894.5301;0.0643305448958018;100.170487;234.162666666667;1;3.50433333333333
2014-03;274532.5267;-0.0024925716752965;99.485505;235.621;0.910714285714286;3.49366666666667
2014-06;276962.7353;0.0119545071520674;99.8769233333333;236.872333333333;0.75;3.45966666666667
2014-09;280163.4115;0.0189011190706464;100.040014333333;237.478333333333;0.486559139784946;3.564
2014-12;292991.1992;0.0615596203887615;99.9747776666667;236.888333333333;0.25;3.854
2015-03;290542.6619;-0.00801362521006076;98.6472153333333;235.355;0.194642857142857;3.95666666666667
2015-06;293216.3256;0.00865833440482892;99.4457086666667;236.96;0.1;3.83533333333333
2015-09;291603.4775;-0.00368017559049857;99.645332;237.855;0.1;3.87866666666667
2015-12;303958.1842;0.0635566633971226;99.113003;237.837;0.1;3.882
2016-03;301448.4607;-0.00557744098641536;98.1481566666667;237.689333333333;0.1;3.87566666666667
2016-06;304830.1487;0.0108699582837555;98.613945;239.590333333333;0.1;3.819
2016-09;312999.3618;0.00825129797437178;99.0797323333333;240.607333333333;0.1;3.79066666666667
2016-12;317780.0997;0.0585793258217673;98.8468383333333;242.134666666667;0.1;3.84433333333333
2017-03;313907.6895;0.00571310311912573;98.6150446666667;243.838666666667;0.1;3.68666666666667
2017-06;319317.6478;0.0188972862651784;99.0428046666667;244.12;0.1;3.55866666666667
2017-09;322738.9201;-0.0136041850751672;98.845377;245.287;0.1;3.561
2017-12;333560.8657;0.058863775757373;99.1415183333333;247.238333333333;0.1;3.49566666666667
2018-03;329681.5108;0.00527325901832163;98.779568;249.254333333333;0.1;3.468
2018-06;333017.9375;0.0159229621077093;99.7667053333333;250.681;0.1;3.60133333333333
2018-09;337932.5787;0.0465239695458815;100.095751;251.770333333333;0.1;3.63166666666667
2018-12;351900.9709;0.0413911389978492;100.194465;252.69;0.153333333333333;3.72333333333333
2019-03;351857.46;0.0257860782602137;100.033231333333;253.292666666667;0.25;3.626
2019-06;351042.3982;0.0360164899306456;100.963773;255.283;0.25;3.60266666666667
2019-09;362532.2039;0.0245247729838988;100.564969333333;256.225;0.25;3.50533333333333
2019-12;369185.1141;0.0567430543646613;100.631436666667;257.785333333333;0.25;3.487
